ModelInstance: TTC_InputRDG_A.xmi
<timeTaken: 1.689583 second(s), bestFitness: -2.333333333333333, evaluation: OptionalDouble[28675.81], mutation: OptionalDouble[3199.371227364185], entireMutation: OptionalDouble[48550.38076152305], copy: OptionalDouble[4576.933867735471], matching: OptionalDouble[16657.83496895654]>
<timeTaken: 1.9362522 second(s), bestFitness: -3.0, evaluation: OptionalDouble[31258.585], mutation: OptionalDouble[3205.4115164305094], entireMutation: OptionalDouble[58246.58316633267], copy: OptionalDouble[4597.570140280561], matching: OptionalDouble[20475.306828699046]>
<timeTaken: 1.6793103 second(s), bestFitness: -2.333333333333333, evaluation: OptionalDouble[28605.795], mutation: OptionalDouble[3197.306261935873], entireMutation: OptionalDouble[48271.94388777555], copy: OptionalDouble[4461.548096192385], matching: OptionalDouble[16477.441692425033]>
<timeTaken: 2.0231867 second(s), bestFitness: -3.0, evaluation: OptionalDouble[33786.7], mutation: OptionalDouble[3253.8203617150984], entireMutation: OptionalDouble[59668.45691382766], copy: OptionalDouble[4754.849699398797], matching: OptionalDouble[20809.643134366976]>
<timeTaken: 1.9757314 second(s), bestFitness: -3.0, evaluation: OptionalDouble[32414.75], mutation: OptionalDouble[3295.585499522349], entireMutation: OptionalDouble[59041.32765531062], copy: OptionalDouble[4540.521042084169], matching: OptionalDouble[20713.71035475743]>
<timeTaken: 1.6706183 second(s), bestFitness: -2.333333333333333, evaluation: OptionalDouble[27920.68], mutation: OptionalDouble[3170.822454308094], entireMutation: OptionalDouble[48594.063126252506], copy: OptionalDouble[4512.985971943888], matching: OptionalDouble[16714.691192104787]>
<timeTaken: 1.2629765 second(s), bestFitness: -0.85, evaluation: OptionalDouble[16803.225], mutation: OptionalDouble[4135.584415584415], entireMutation: OptionalDouble[38381.19739478958], copy: OptionalDouble[4099.589178356713], matching: OptionalDouble[8732.848201302397]>
<timeTaken: 1.2289918 second(s), bestFitness: -0.85, evaluation: OptionalDouble[16362.725], mutation: OptionalDouble[2711.138014527845], entireMutation: OptionalDouble[37197.30460921844], copy: OptionalDouble[4080.4809619238476], matching: OptionalDouble[8464.383440280468]>
<timeTaken: 1.6715381 second(s), bestFitness: -2.333333333333333, evaluation: OptionalDouble[28461.975], mutation: OptionalDouble[3103.561296859169], entireMutation: OptionalDouble[48064.729458917835], copy: OptionalDouble[4461.132264529058], matching: OptionalDouble[16511.448869321594]>
<timeTaken: 1.2971961 second(s), bestFitness: -1.6666666666666665, evaluation: OptionalDouble[21153.83], mutation: OptionalDouble[3115.30895334174], entireMutation: OptionalDouble[37044.34869739479], copy: OptionalDouble[4187.264529058116], matching: OptionalDouble[12117.902567794576]>
<timeTaken: 1.6279237 second(s), bestFitness: -2.333333333333333, evaluation: OptionalDouble[27555.385], mutation: OptionalDouble[3072.39087751095], entireMutation: OptionalDouble[46883.917835671346], copy: OptionalDouble[4361.718436873747], matching: OptionalDouble[16062.418937097194]>
<timeTaken: 1.2983841 second(s), bestFitness: -1.6666666666666665, evaluation: OptionalDouble[21129.35], mutation: OptionalDouble[3189.38124153159], entireMutation: OptionalDouble[37051.538076152305], copy: OptionalDouble[4130.265531062124], matching: OptionalDouble[12187.638257651932]>
<timeTaken: 1.3232152 second(s), bestFitness: -1.6666666666666665, evaluation: OptionalDouble[22448.705], mutation: OptionalDouble[3124.721189591078], entireMutation: OptionalDouble[36731.18236472946], copy: OptionalDouble[4368.266533066132], matching: OptionalDouble[12156.187345265636]>
<timeTaken: 1.2799544 second(s), bestFitness: -1.6666666666666665, evaluation: OptionalDouble[21734.6], mutation: OptionalDouble[2997.7780022219977], entireMutation: OptionalDouble[35970.85671342685], copy: OptionalDouble[3947.4248496993987], matching: OptionalDouble[11776.53641386238]>
<timeTaken: 1.2596491 second(s), bestFitness: -1.6666666666666665, evaluation: OptionalDouble[21492.065], mutation: OptionalDouble[2994.677687616552], entireMutation: OptionalDouble[35310.43587174349], copy: OptionalDouble[3863.517034068136], matching: OptionalDouble[11581.772487836262]>
<timeTaken: 1.7090888 second(s), bestFitness: -2.333333333333333, evaluation: OptionalDouble[28090.055], mutation: OptionalDouble[3179.175946547884], entireMutation: OptionalDouble[50135.06513026052], copy: OptionalDouble[4726.89879759519], matching: OptionalDouble[16845.071488310965]>
<timeTaken: 1.2758994 second(s), bestFitness: -1.1666666666666667, evaluation: OptionalDouble[21368.585], mutation: OptionalDouble[3143.8795782181246], entireMutation: OptionalDouble[36103.67234468938], copy: OptionalDouble[3915.7615230460924], matching: OptionalDouble[11768.4158040647]>
<timeTaken: 1.2801963 second(s), bestFitness: -1.6666666666666665, evaluation: OptionalDouble[21026.175], mutation: OptionalDouble[3079.5422249289486], entireMutation: OptionalDouble[36620.69138276553], copy: OptionalDouble[4109.468937875751], matching: OptionalDouble[12037.807588347181]>
<timeTaken: 1.2456353 second(s), bestFitness: -1.1666666666666667, evaluation: OptionalDouble[21233.89], mutation: OptionalDouble[2979.5091586305425], entireMutation: OptionalDouble[34627.24448897796], copy: OptionalDouble[4123.627254509018], matching: OptionalDouble[11281.095360567817]>
<timeTaken: 1.1601823 second(s), bestFitness: -0.85, evaluation: OptionalDouble[15400.74], mutation: OptionalDouble[2607.6233183856502], entireMutation: OptionalDouble[35284.063126252506], copy: OptionalDouble[3779.3386773547095], matching: OptionalDouble[8015.807734190999]>
<timeTaken: 2.0524421 second(s), bestFitness: -3.0, evaluation: OptionalDouble[31983.78], mutation: OptionalDouble[3499.2869338154064], entireMutation: OptionalDouble[63070.335671342684], copy: OptionalDouble[4698.9478957915835], matching: OptionalDouble[21819.214210992195]>
<timeTaken: 1.9767129 second(s), bestFitness: -3.0, evaluation: OptionalDouble[32093.295], mutation: OptionalDouble[3362.45], entireMutation: OptionalDouble[58758.52705410821], copy: OptionalDouble[5105.796593186373], matching: OptionalDouble[20802.141933397994]>
<timeTaken: 1.6258584 second(s), bestFitness: -2.333333333333333, evaluation: OptionalDouble[27148.465], mutation: OptionalDouble[3144.838330694182], entireMutation: OptionalDouble[47189.498997995994], copy: OptionalDouble[4417.234468937876], matching: OptionalDouble[16075.141590985872]>
<timeTaken: 1.2873296 second(s), bestFitness: -1.6666666666666665, evaluation: OptionalDouble[21636.61], mutation: OptionalDouble[3047.0502439269726], entireMutation: OptionalDouble[36436.78356713427], copy: OptionalDouble[3963.702404809619], matching: OptionalDouble[11984.462087493484]>
<timeTaken: 1.2866903 second(s), bestFitness: -1.1666666666666667, evaluation: OptionalDouble[21653.635], mutation: OptionalDouble[2994.4650015417824], entireMutation: OptionalDouble[36248.09118236473], copy: OptionalDouble[4044.7895791583164], matching: OptionalDouble[11801.983507030276]>
